Date,Basic Industries,Capital Goods,Consumer Durables,Consumer Non-Durables,Consumer Services,Energy,Finance,Public Utilities,Technology,Transportation
2014-12-31,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2015-01-02,99.39564363339298,100.56319991437728,99.90118916627459,98.99819378445929,99.34191017672657,100.13360307226735,100.07720955322993,100.3135792442291,99.76684873277455,99.35866468083377
2015-01-05,97.44600500746387,99.09096312379607,98.78024343246776,97.86411126902996,97.62668613396434,95.94078547485188,97.22247918382872,99.12852994574278,97.76972072721837,96.61935616649635
2015-01-06,97.26630254148363,98.10772556877383,98.02054664744516,98.48036279305585,96.44189349319606,95.51964526736303,94.80042001536637,99.54197505641702,95.7244081848204,94.65967329290893
2015-01-07,98.11970528318285,99.91826674773618,98.92455897035117,100.02512301465049,98.00966332086932,96.12953020894449,95.35040379047769,100.70996225991405,95.70248391009322,95.21385306738077
2015-01-08,99.473924091658,101.55642690097567,100.66577226808585,101.69854813558696,99.2546574484374,98.24077150615169,96.93523347856554,101.73428079824834,96.54412277897528,97.36939965264733
2015-01-09,98.91516099997641,100.79565253687528,99.72079479109738,101.31420977406967,98.28362071467535,97.19855881357806,95.39870728650277,101.42340119216115,95.5057831442518,96.4014664987489
2015-01-12,98.47490146806572,100.45863704159359,99.06191229922344,101.06377453855822,97.45480851067421,95.55821090616938,94.63992540338866,101.51433332921698,94.60349710327446,95.57582878172477
2015-01-13,98.27934630157262,100.63801570922537,99.19660040008726,101.36122110046801,97.93521158695108,94.83119668175738,94.34333991541001,102.49547414048948,95.28693300231421,94.93752481199965
2015-01-14,97.58078333247879,99.8293165128828,99.06369772283799,101.49946411043985,96.85722623119038,94.27017091508944,92.44609835880642,102.3165105783959,95.8929200377681,94.58968043019989
2015-01-15,98.12400906500383,99.3460165054662,99.07031276764529,100.87536474589314,95.73947310368695,94.16877696423019,90.32961178897651,102.68967960415918,95.37538947241481,94.76406242100278
2015-01-16,100.00654181014752,100.62994637867936,100.00669373271884,101.76041502986293,96.94134029435314,97.19038966184608,91.34720121225509,103.76713675007068,96.44244792848423,96.01134768550222
2015-01-20,99.51639241776617,101.09908521588224,99.69079217798439,102.5013131725871,96.43571054289824,97.28431908308717,91.26350562739091,104.32535931141376,96.61594880246437,96.61985164358818
2015-01-21,100.47088561163055,101.53557203380912,100.12844847391096,103.27730363083285,97.62630042143438,99.10219680416947,91.81781716656519,105.96029593543399,98.35304135118571,97.1829063233162
2015-01-22,101.28012573845722,102.82499438143293,101.17206938522966,104.89291991367683,100.61497051881334,99.95013240234476,94.76233455454052,105.81555229298706,101.3132751496259,99.97536411011129
2015-01-23,99.65916681244622,102.67850572686467,97.87179425008371,103.10422434227272,100.77814329134279,98.11860763414363,93.60021466264759,105.4162173212681,102.16552615846064,96.68930896813475
2015-01-26,100.8362931232577,102.7833642134648,97.75475659845544,103.25065331939318,100.59067219557932,99.92351813629399,94.14249530185884,105.19792397013022,101.36449163521672,97.35917578833534
2015-01-27,99.89810142725446,102.16711988064027,97.69279861339835,102.0133435320844,99.57024070146804,99.69935885074099,93.15800226216408,105.16272098685701,98.10246866104201,96.32873285832476
2015-01-28,98.70922517002619,102.70747848650512,96.85262802913843,100.87815338813488,98.58179186310021,96.122732474253,91.32058863666404,104.27195041452559,97.15639416743028,94.87820524538606
2015-01-29,100.31953556189876,104.8785715285237,97.70475236670582,101.0698526322046,100.4800633717966,96.17469913105121,92.3527420254271,105.84170929554818,97.74746930885799,95.51113613008526
2015-01-30,99.52262938851416,102.77446182095977,95.8784755711121,98.96702414183679,105.95596809930083,96.14646858977017,90.64409404012169,103.75705028765087,101.05434930115689,93.76538856007205
2015-02-02,100.50235125754551,104.04679420603125,97.65774849252963,100.51919239766687,107.87453123258479,99.22085063336532,92.09844320417318,105.11373051498003,100.28373411948385,95.35492098581216
2015-02-03,102.61573834156972,105.10816815522162,98.19937198946522,101.24383232936383,108.72994910286484,102.6931999420459,93.89250171955837,105.51811674127225,100.48617826058074,97.41616110434784
2015-02-04,101.48074916602494,104.92173798626452,98.48901557293041,101.27114493988645,110.45175001808293,101.0985282814882,93.40569371924553,105.4335919887451,99.5346956410907,96.92482717590482
2015-02-05,102.81605454551692,105.75829845276587,99.17457846482954,101.85957556692212,112.33432879696312,102.40343532817559,94.13585314113845,106.18575547282683,100.30825124460536,98.42678729722968
2015-02-06,100.75384388394397,104.76508410414766,98.28328596969499,101.19165364013503,112.30856065628303,101.6675473087943,95.4197290103081,103.90172567631745,100.71628387865192,97.93389855993952
2015-02-09,101.17343039200865,104.2795227445916,98.22695224579356,101.28375356148729,111.34051020543777,102.41825125394644,94.95962899938047,103.01829970357417,100.16997044844341,97.34269704337053
2015-02-10,100.72771580199998,105.07117876296262,99.17658953269506,102.21813097246442,112.38313785809828,101.75725058024847,95.17143367617166,104.61236066528956,101.97198229683755,98.00951174877511
2015-02-11,100.68225334980647,105.28675950413411,99.16295738204663,103.07726515948201,112.53745948041795,101.18808748210553,94.85932839906442,103.20261441172383,102.03654962533261,98.42127081254874
2015-02-12,101.93334310016209,106.01567144057451,100.0954363590171,104.23262039692463,113.40856219054419,103.25466304760502,96.7313355588479,103.7246300176121,103.35221365369198,99.52388136834547
2015-02-13,103.44866825838659,106.96406871066708,101.03595738673832,103.33942760138177,114.28086372475117,104.90262892498554,97.0743033120744,102.71286763839895,104.29161311019296,99.09485231241366
